"","A Mina","A Rua Torta de Gramado","Adega Dom Carlo","Aldeia do Papai Noel","Alpen Park","Caminho das Estrelas","Caro Watson Escape Game","Casa Centenária","Casa das Artes","Casa do Colono","Casa Seganfredo","Cascata Véu de Noiva","Central de Informações Turísticas de Gramado","Centro de Informações Turísticas","Centro Municipal de Cultura","Chave-Mestra Escape Game Gramado","Cine -Teatro Elizabeth Rosenfeld","Clube da Crianca","Colorio","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Estátua do Maestro Eleazar de Carvalho","Fonte do Amor Eterno","Fragram - Museu do Perfume","Galeria Arte12b","Galleria D'arte Giovanni Bocchi","Gram Bier","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Igreja Metodista","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo de Chocolate","Mundo Encantado","Museu do Automóvel - Hollywood Dream Cars","Museu do Festival de Cinema de Gramado","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","Museu Naval","O Reino do Chocolate","Parque do Palácio","Parque do Pinheiro Grosso","Parque Gaúcho","Parque Olivas de Gramado","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça da Criança","Praça das Etnias","Praça do Moínho","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Trem Maria Fumaça","Vila Olímpica Eduardo Tissott","Vinicola Masotti","Vinícola Ravanello","Vinícola Stopassola"
"Dreamland Museu de Cera",20,40,0,42,30,1,2,5,0,43,5,0,2,0,1,15,1,0,0,531,4,0,79,4,0,0,4,30,237,125,0,278,66,1,238,2,45,10,195,7,3,23,0,27,0,0,10,0,22,38,20,2,31,0,6,5,4,224,172,0,0,0,10,0
"Ervateira Marcon - Natural de Gramado",2,3,0,2,2,0,2,6,0,2,0,0,0,0,0,1,0,0,0,4,19,0,2,0,0,0,0,0,3,5,0,7,1,0,4,0,1,0,2,0,4,2,0,2,0,0,0,0,0,1,0,0,4,0,0,0,1,7,5,0,0,1,0,0
"Estátua do Maestro Eleazar de Carvalho",0,1,1,1,0,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,1,1,1,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,1,1,1,2,0,0,1,1,0,0
"Fonte do Amor Eterno",29,114,0,40,28,2,3,4,0,75,10,0,7,0,1,12,1,0,0,79,2,0,534,11,0,0,8,33,68,287,0,353,99,4,203,17,57,13,55,13,2,10,0,33,0,1,12,0,11,83,28,0,69,0,24,7,11,331,151,0,0,2,17,0
"Fragram - Museu do Perfume",9,10,1,2,2,0,0,0,1,14,0,0,3,0,3,2,0,0,0,4,0,1,11,52,0,0,1,3,5,17,1,28,18,1,19,2,9,2,3,4,0,2,0,4,0,0,3,0,1,9,2,0,8,1,3,2,3,25,9,1,0,2,0,0
"Galeria Arte12b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galleria D'arte Giovanni Bocchi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gram Bier",1,4,0,3,5,0,2,0,0,7,4,0,1,0,0,4,0,0,0,4,0,0,8,1,0,0,119,1,5,19,0,39,7,0,18,3,7,0,2,0,0,1,0,2,0,0,1,0,2,8,3,0,5,0,1,2,0,28,15,0,0,1,3,0
"GramadoZoo",17,22,0,51,25,0,2,1,0,20,0,1,0,0,0,11,0,0,0,30,0,0,33,3,0,0,1,373,28,50,0,146,49,0,124,5,18,6,31,1,0,5,0,12,1,0,94,0,11,13,10,3,12,0,7,3,0,113,93,0,0,2,1,0
"Harley Motor Show",22,44,0,44,25,1,2,4,0,25,1,0,2,0,0,8,0,0,0,237,3,1,68,5,0,0,5,28,387,106,0,202,55,2,204,5,46,9,178,6,3,24,0,24,0,0,11,0,22,35,16,2,31,1,7,4,6,200,136,0,0,1,8,0
"Igreja Matriz São Pedro Apóstolo",51,147,0,99,43,4,5,6,0,128,17,0,13,0,2,15,2,0,0,125,5,1,287,17,0,0,19,50,106,1106,0,755,186,9,428,27,93,25,84,19,3,15,0,55,2,1,21,0,23,142,62,0,114,1,46,13,13,676,244,0,0,4,21,0
"Igreja Metodista",0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0
"Lago Negro",88,233,0,248,99,3,21,9,0,208,32,2,18,0,2,44,2,0,0,278,7,1,353,28,0,0,39,146,202,755,0,3381,487,11,1209,35,169,39,181,25,3,33,1,90,0,1,53,0,53,178,75,5,157,2,53,19,15,1284,789,2,0,5,51,1
"Le Jardin Parque de Lavanda",53,95,0,76,36,2,6,1,0,94,20,2,8,0,1,17,2,0,0,66,1,0,99,18,0,0,7,49,55,186,1,487,921,7,332,24,64,16,57,14,0,13,0,37,0,1,22,0,17,72,30,3,72,1,25,11,8,382,163,0,0,2,19,0
